Train Number,Arrival Station Code,Arrival Station,State,Latitude,Longitude,Train Arrivals,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
352,NBU,New Buffalo,Michigan,41.796656,-86.745782,11,8985,816.8182,807.0,352.7353,3088,280.7273,238.0,147.783,0.3437,42.1818,5897
352,NLS,Niles,Michigan,41.837412,-86.252372,11,3669,333.5455,329.0,96.3643,1365,124.0909,109.0,47.5046,0.372,40.5455,2304
352,KAL,Kalamazoo,Michigan,42.295255,-85.584018,11,24668,2242.5455,2242.0,166.7443,10283,934.8182,988.0,222.0058,0.4169,43.8182,14385
352,BTL,Battle Creek,Michigan,42.318453,-85.187825,11,7952,722.9091,679.0,207.841,2489,226.2727,214.0,111.7936,0.313,48.3636,5463
352,JXN,Jackson,Michigan,42.248113,-84.39967,11,7310,664.5455,691.0,93.5888,2417,219.7273,236.0,53.939,0.3306,50.7273,4893
352,ARB,Ann Arbor,Michigan,42.287692,-83.743154,11,71314,6483.0909,6448.0,678.3898,37275,3388.6364,3624.0,962.3193,0.5227,49.1818,34039
352,DER,Dearborn,Michigan,42.307167,-83.235311,11,31871,2897.3636,3033.0,582.1256,11176,1016.0,1047.0,261.8652,0.3507,60.5455,20695
352,DET,Detroit,Michigan,42.368097,-83.072397,11,31310,2846.3636,2801.0,513.9956,8810,800.9091,808.0,163.8502,0.2814,60.9091,22500
352,ROY,Royal Oak,Michigan,42.488439,-83.14701,11,13016,1183.2727,1214.0,242.5049,4219,383.5455,403.0,109.7892,0.3241,60.8182,8797
352,TRM,Troy,Michigan,42.542555,-83.191026,11,17664,1605.8182,1641.0,272.3736,5808,528.0,566.0,133.2119,0.3288,63.3636,11856
352,PNT,Pontiac,Michigan,42.632771,-83.292325,11,7312,664.7273,628.0,130.4761,2284,207.6364,207.0,57.966,0.3124,63.9091,5028
