Train Number,Arrival Station Code,Arrival Station,State,Latitude,Longitude,Train Arrivals,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
774,GVB,Grover Beach,California,35.12126,-120.629266,12,146,12.1667,3.5,13.8356,1,0.0833,0.0,0.2887,0.0068,54.0,145
774,GUA,Guadalupe-Santa Maria,California,34.962927,-120.57341,10,94,9.4,6.0,11.5297,1,0.1,0.0,0.3162,0.0106,22.0,93
774,LPS,Lompoc-Surf,California,34.682704,-120.605001,12,118,9.8333,8.5,4.7832,14,1.1667,1.0,1.1146,0.1186,41.25,104
774,GTA,Goleta,California,34.437729,-119.843092,12,1729,144.0833,151.0,43.4584,500,41.6667,40.0,21.0641,0.2892,28.3333,1229
774,SBA,Santa Barbara,California,34.413718,-119.692785,12,8608,717.3333,728.5,139.1751,1806,150.5,140.5,102.3581,0.2098,34.3333,6802
774,CPN,Carpinteria,California,34.39678,-119.522975,12,2929,244.0833,241.5,62.8005,947,78.9167,83.5,50.9393,0.3233,29.0909,1982
774,MPK,Moorpark,California,34.28476,-118.878059,11,1238,112.5455,116.0,47.0773,251,22.8182,17.0,20.2031,0.2027,40.6364,987
774,VEC,Ventura,California,34.276929,-119.299918,12,3773,314.4167,287.5,116.0975,891,74.25,65.5,50.9637,0.2362,32.5833,2882
774,SIM,Simi Valley,California,34.270204,-118.695163,12,1832,152.6667,147.0,33.9688,423,35.25,28.0,19.7904,0.2309,45.4167,1409
774,CWT,Chatsworth,California,34.253205,-118.599417,12,4994,416.1667,393.0,112.2836,1213,101.0833,79.5,73.3676,0.2429,40.9167,3781
774,CML,Camarillo,California,34.215933,-119.034114,12,2951,245.9167,246.5,55.3673,667,55.5833,46.0,40.6011,0.226,40.4167,2284
774,VNC,Van Nuys,California,34.211294,-118.448206,12,6440,536.6667,543.5,128.6802,1590,132.5,112.0,74.143,0.2469,43.1667,4850
774,OXN,Oxnard,California,34.199241,-119.175978,12,2431,202.5833,196.5,46.3513,629,52.4167,41.0,41.3883,0.2587,37.0833,1802
774,BUR,Burbank (Airport),California,34.193072,-118.353767,12,10233,852.75,871.0,205.1758,2445,203.75,178.5,122.8807,0.2389,42.75,7788
774,GDL,Glendale,California,34.123706,-118.258868,12,7184,598.6667,541.0,192.8967,1841,153.4167,121.5,81.0403,0.2563,43.5833,5343
774,LAX,Los Angeles,California,34.056177,-118.236778,12,65442,5453.5,5254.5,1532.735,12684,1057.0,975.0,487.801,0.1938,44.0,52758
774,FUL,Fullerton,California,33.868969,-117.922849,12,19640,1636.6667,1625.5,329.8259,3175,264.5833,265.0,61.438,0.1617,39.5833,16465
774,ANA,Anaheim,California,33.803803,-117.877308,12,21747,1812.25,1910.5,359.5068,3765,313.75,316.5,68.3309,0.1731,39.5833,17982
774,SNA,Santa Ana,California,33.751629,-117.856607,12,13835,1152.9167,1160.0,193.2758,2126,177.1667,181.5,43.1948,0.1537,40.6667,11709
774,IRV,Irvine,California,33.656771,-117.733695,12,65297,5441.4167,3056.0,4780.5223,8313,692.75,458.5,568.1008,0.1273,42.0,56984
774,SNC,San Juan Capistrano,California,33.501318,-117.663813,12,16143,1345.25,1311.5,291.9586,3781,315.0833,318.5,105.3863,0.2342,36.0833,12362
774,OSD,Oceanside,California,33.192515,-117.37943,11,31241,2840.0909,3330.0,1385.7328,7479,679.9091,746.0,292.6518,0.2394,39.0909,23762
774,SOL,Solana Beach,California,32.992937,-117.271135,11,30810,2800.9091,3141.0,1444.6562,8723,793.0,833.0,358.7029,0.2831,42.9091,22087
774,OLT,San Diego (Old Town),California,32.755266,-117.200073,11,52669,4788.0909,5297.0,2339.0626,16292,1481.0909,1712.0,631.5363,0.3093,44.0909,36377
774,SAN,San Diego (Downtown),California,32.716169,-117.169576,11,90149,8195.3636,9608.0,4033.1456,24570,2233.6364,2492.0,921.0213,0.2725,43.6364,65579
