Train Number,Arrival Station Code,Arrival Station,State,Latitude,Longitude,Train Arrivals,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
59,HMW,Homewood,Illinois,41.562446,-87.668685,11,469,42.6364,44.0,18.0902,86,7.8182,9.0,3.7635,0.1834,88.1818,383
59,KKI,Kankakee,Illinois,41.119259,-87.86543,11,2392,217.4545,220.0,48.9374,583,53.0,54.0,9.3381,0.2437,65.5455,1809
59,CHM,Champaign-Urbana,Illinois,40.115843,-88.241366,11,54699,4972.6364,4972.0,960.7651,14149,1286.2727,1262.0,238.6508,0.2587,66.7273,40550
59,MAT,Mattoon,Illinois,39.48273,-88.376045,11,7434,675.8182,675.0,236.6866,2722,247.4545,219.0,93.7213,0.3662,63.6364,4712
59,EFG,Effingham,Illinois,39.117059,-88.54711,11,3548,322.5455,333.0,111.2622,1397,127.0,121.0,41.9952,0.3937,63.7273,2151
59,CEN,Centralia,Illinois,38.527531,-89.136118,11,2435,221.3636,215.0,81.8099,1074,97.6364,99.0,32.7667,0.4411,62.1818,1361
59,CDL,Carbondale (Amtrak),Illinois,37.724235,-89.216628,11,15294,1390.3636,1421.0,442.8492,5902,536.5455,450.0,201.4921,0.3859,67.3636,9392
59,FTN,Fulton,Kentucky,36.525704,-88.888772,11,3159,287.1818,281.0,104.772,1920,174.5455,161.0,72.6682,0.6078,66.8182,1239
59,NBN,Newbern-Dyersburg,Tennessee,36.112711,-89.262264,11,3105,282.2727,258.0,70.9804,1775,161.3636,157.0,36.9277,0.5717,67.3636,1330
59,MEM,Memphis,Tennessee,35.132458,-90.059109,11,31894,2899.4545,2749.0,790.1422,6495,590.4545,620.0,189.5006,0.2036,101.9091,25399
59,MKS,Marks,Mississippi,34.258227,-90.272342,11,2670,242.7273,209.0,76.4736,1280,116.3636,120.0,48.8575,0.4794,68.2727,1390
59,GWD,Greenwood,Mississippi,33.517159,-90.176454,11,12476,1134.1818,1097.0,259.4015,6823,620.2727,626.0,206.3565,0.5469,72.0,5653
59,YAZ,Yazoo City,Mississippi,32.848477,-90.41523,11,3284,298.5455,280.0,63.6386,2149,195.3636,200.0,37.321,0.6544,76.2727,1135
59,JAN,Jackson,Mississippi,32.300808,-90.190936,11,25054,2277.6364,2188.0,482.2983,8733,793.9091,769.0,328.03,0.3486,95.0,16321
59,HAZ,Hazlehurst,Mississippi,31.86132,-90.394347,11,959,87.1818,77.0,33.3371,363,33.0,29.0,14.9933,0.3785,112.3636,596
59,BRH,Brookhaven,Mississippi,31.582961,-90.44107,11,3117,283.3636,277.0,65.2737,1188,108.0,103.0,41.1995,0.3811,98.6364,1929
59,MCB,McComb,Mississippi,31.244467,-90.451334,11,3358,305.2727,312.0,85.7276,1369,124.4545,124.0,36.525,0.4077,94.1818,1989
59,HMD,Hammond,Louisiana,30.50718,-90.462169,11,9558,868.9091,812.0,271.9038,4237,385.1818,436.0,121.5326,0.4433,92.5455,5321
59,NOL,New Orleans,Louisiana,29.946085,-90.078291,11,104438,9494.3636,10549.0,2714.2536,20563,1869.3636,1792.0,743.2482,0.1969,119.0909,83875
