Train Number,Arrival Station Code,Arrival Station,State,Latitude,Longitude,Train Arrivals,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
354,MCI,Michigan City,Indiana,41.721111,-86.905556,3,192,64.0,86.0,49.7896,77,25.6667,31.0,23.4592,0.401,39.5,115
354,NBU,New Buffalo,Michigan,41.796656,-86.745782,11,6639,603.5455,616.0,283.4499,1731,157.3636,152.0,79.0927,0.2607,58.0909,4908
354,NLS,Niles,Michigan,41.837412,-86.252372,11,3552,322.9091,288.0,121.3379,997,90.6364,82.0,49.6996,0.2807,59.5455,2555
354,KAL,Kalamazoo,Michigan,42.295255,-85.584018,11,19592,1781.0909,1812.0,264.3968,7155,650.4545,662.0,171.552,0.3652,54.9091,12437
354,BTL,Battle Creek,Michigan,42.318453,-85.187825,11,6211,564.6364,557.0,164.4161,2213,201.1818,177.0,77.9664,0.3563,58.2727,3998
354,ALI,Albion,Michigan,42.247196,-84.755814,11,2050,186.3636,199.0,38.6789,887,80.6364,64.0,35.3929,0.4327,48.4545,1163
354,JXN,Jackson,Michigan,42.248113,-84.39967,11,6884,625.8182,659.0,118.1675,3210,291.8182,289.0,73.8428,0.4663,60.0,3674
354,ARB,Ann Arbor,Michigan,42.287692,-83.743154,11,62140,5649.0909,5845.0,795.1041,30524,2774.9091,2668.0,803.5014,0.4912,55.1818,31616
354,DER,Dearborn,Michigan,42.307167,-83.235311,11,25140,2285.4545,2356.0,514.4956,11057,1005.1818,911.0,340.1673,0.4398,62.4545,14083
354,DET,Detroit,Michigan,42.368097,-83.072397,11,23298,2118.0,2157.0,383.0277,6961,632.8182,549.0,241.5855,0.2988,72.4545,16337
354,ROY,Royal Oak,Michigan,42.488439,-83.14701,11,7556,686.9091,719.0,145.3385,2545,231.3636,213.0,101.9993,0.3368,72.2727,5011
354,TRM,Troy,Michigan,42.542555,-83.191026,11,10187,926.0909,964.0,233.2897,3406,309.6364,250.0,141.3777,0.3343,75.1818,6781
354,PNT,Pontiac,Michigan,42.632771,-83.292325,11,4054,368.5455,390.0,89.0757,1320,120.0,105.0,62.4308,0.3256,79.3636,2734
