Train Number,Arrival Station Code,Arrival Station,State,Latitude,Longitude,Train Arrivals,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
355,TRM,Troy,Michigan,42.542555,-83.191026,10,130,13.0,6.5,12.1838,4,0.4,0.0,0.8433,0.0308,48.5,126
355,ROY,Royal Oak,Michigan,42.488439,-83.14701,11,71,6.4545,4.0,5.7856,10,0.9091,0.0,2.1192,0.1408,44.0,61
355,DET,Detroit,Michigan,42.368097,-83.072397,11,436,39.6364,40.0,13.0405,46,4.1818,3.0,2.5226,0.1055,51.2727,390
355,DER,Dearborn,Michigan,42.307167,-83.235311,11,334,30.3636,25.0,12.5561,30,2.7273,2.0,2.3703,0.0898,32.8889,304
355,ARB,Ann Arbor,Michigan,42.287692,-83.743154,11,5220,474.5455,480.0,131.7402,1194,108.5455,102.0,45.7741,0.2287,44.7273,4026
355,JXN,Jackson,Michigan,42.248113,-84.39967,11,2425,220.4545,236.0,50.6801,1178,107.0909,108.0,32.0639,0.4858,33.6364,1247
355,BTL,Battle Creek,Michigan,42.318453,-85.187825,11,2722,247.4545,232.0,56.4967,1488,135.2727,144.0,44.6544,0.5467,40.9091,1234
355,KAL,Kalamazoo,Michigan,42.295255,-85.584018,11,9229,839.0,844.0,192.3008,5227,475.1818,463.0,136.2357,0.5664,41.3636,4002
355,DOA,Dowagiac,Michigan,41.980941,-86.109041,11,896,81.4545,83.0,20.6851,483,43.9091,48.0,13.39,0.5391,46.0,413
355,NLS,Niles,Michigan,41.837412,-86.252372,11,3306,300.5455,306.0,55.863,1694,154.0,160.0,44.8152,0.5124,46.4545,1612
355,NBU,New Buffalo,Michigan,41.796656,-86.745782,11,1280,116.3636,105.0,48.1254,735,66.8182,65.0,35.1563,0.5742,46.4545,545
355,MCI,Michigan City,Indiana,41.721111,-86.905556,3,215,71.6667,103.0,55.1392,137,45.6667,66.0,39.6274,0.6372,49.0,78
355,HMI,Hammond-Whiting,Indiana,41.691155,-87.506511,11,2636,239.6364,221.0,69.5532,1619,147.1818,146.0,48.4888,0.6142,50.9091,1017
355,CHI,Chicago (Union Station),Illinois,41.878992,-87.641015,11,121079,11007.1818,10600.0,2693.897,35194,3199.4545,3273.0,1267.3121,0.2907,54.9091,85885
