Train Number,Arrival Station Code,Arrival Station,State,Latitude,Longitude,Train Arrivals,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
58,HMD,Hammond,Louisiana,30.50718,-90.462169,11,2264,205.8182,198.0,69.5698,1126,102.3636,98.0,40.1952,0.4973,30.6364,1138
58,MCB,McComb,Mississippi,31.244467,-90.451334,11,1698,154.3636,155.0,48.5042,1025,93.1818,89.0,30.8539,0.6037,34.4545,673
58,BRH,Brookhaven,Mississippi,31.582961,-90.44107,11,1558,141.6364,150.0,60.3892,985,89.5455,78.0,39.7577,0.6322,41.9091,573
58,HAZ,Hazlehurst,Mississippi,31.86132,-90.394347,11,959,87.1818,78.0,31.1731,657,59.7273,55.0,22.4058,0.6851,38.3636,302
58,JAN,Jackson,Mississippi,32.300808,-90.190936,11,21050,1913.6364,1970.0,573.9058,2584,234.9091,203.0,163.0825,0.1228,63.2727,18466
58,YAZ,Yazoo City,Mississippi,32.848477,-90.41523,11,993,90.2727,72.0,50.3212,200,18.1818,17.0,10.9619,0.2014,60.8182,793
58,GWD,Greenwood,Mississippi,33.517159,-90.176454,11,4154,377.6364,379.0,131.9661,1155,105.0,96.0,48.0687,0.278,61.6364,2999
58,MKS,Marks,Mississippi,34.258227,-90.272342,11,2664,242.1818,208.0,69.0924,1112,101.0909,106.0,42.7819,0.4174,59.3636,1552
58,MEM,Memphis,Tennessee,35.132458,-90.059109,11,43340,3940.0,4042.0,1226.0761,11764,1069.4545,870.0,538.3936,0.2714,74.1818,31576
58,NBN,Newbern-Dyersburg,Tennessee,36.112711,-89.262264,11,1459,132.6364,145.0,55.9665,639,58.0909,50.0,28.137,0.438,62.0909,820
58,FTN,Fulton,Kentucky,36.525704,-88.888772,11,2237,203.3636,200.0,73.6441,867,78.8182,80.0,32.5786,0.3876,76.0909,1370
58,CDL,Carbondale (Amtrak),Illinois,37.724235,-89.216628,11,6995,635.9091,669.0,146.1687,2151,195.5455,170.0,60.2534,0.3075,83.9091,4844
58,CEN,Centralia,Illinois,38.527531,-89.136118,11,1014,92.1818,91.0,23.1768,360,32.7273,32.0,12.2889,0.355,80.9091,654
58,EFG,Effingham,Illinois,39.117059,-88.54711,11,1117,101.5455,98.0,27.8186,480,43.6364,40.0,16.2989,0.4297,86.6364,637
58,MAT,Mattoon,Illinois,39.48273,-88.376045,11,1363,123.9091,137.0,28.8252,565,51.3636,49.0,15.3445,0.4145,83.0,798
58,CHM,Champaign-Urbana,Illinois,40.115843,-88.241366,11,11355,1032.2727,1043.0,201.8505,4950,450.0,394.0,124.2578,0.4359,81.8182,6405
58,KKI,Kankakee,Illinois,41.119259,-87.86543,11,2736,248.7273,247.0,62.6324,1275,115.9091,112.0,35.979,0.466,75.7273,1461
58,HMW,Homewood,Illinois,41.562446,-87.668685,11,15746,1431.4545,1305.0,409.8503,8037,730.6364,650.0,212.4577,0.5104,78.4545,7709
58,CHI,Chicago (Union Station),Illinois,41.878992,-87.641015,11,150011,13637.3636,13166.0,2608.6811,34699,3154.4545,3033.0,1418.1027,0.2313,95.2727,115312
